appId,genre,year_bucket
freeappscollection.freeapps.wish.quote.sunrise.photoframe.selfie.goodmorning,Art & Design,[2016-2020]
in.letstartup.nailart,Art & Design,[2016-2020]
com.inforotor.saas.artist.mone,Art & Design,[2016-2020]
com.inforotor.saas.artist.vangog,Art & Design,[2016-2020]
com.appystations.easyrangolidesignsbooknewsimple,Art & Design,[2016-2020]
com.trendyboys.rangavalli,Art & Design,[2016-2020]
appinventor.ai_andycherbert.camera_doodler_free,Art & Design,[2016-2020]
com.hd.fivex.latest.mehndi.designs,Art & Design,[2016-2020]
marcos.amor.gifs,Art & Design,[2016-2020]
appdevtechnolabs.com.royalsignature,Art & Design,[2016-2020]
com.benitez.temploMayorAR,Art & Design,[2016-2020]
com.accurasoftech.quotescreator,Art & Design,[2016-2020]
com.bottleideas.DIY,Art & Design,[2016-2020]
com.ArtJars.myapp,Art & Design,[2016-2020]
abnormal.ragozin.colorguess,Art & Design,[2016-2020]
com.enginair.eidulfitri,Art & Design,[2016-2020]
whitefawn.shikinoin,Art & Design,[2016-2020]
com.EasterEggPainting.jafsamapps,Art & Design,[2016-2020]
com.gooldari.anicon,Art & Design,[2016-2020]
appinventor.ai_temcreate.witchstudio,Art & Design,[2016-2020]
com.Painting3D.andidev,Art & Design,[2016-2020]
com.DesainSuratKaligrafi.codetapps,Art & Design,[2016-2020]
com.devfactory.Hisat,Art & Design,[2016-2020]
oppo.r3.mirror.r11.f3plus.a37.oppof3.oppofind9.oppor9splus.oppor7splus.oppor1c.launcher.theme,Art & Design,[2016-2020]
com.iwanrewok.Kitefestival,Art & Design,[2016-2020]
com.kadersapp.hater_kaz_bangla_selai,Art & Design,[2016-2020]
com.shoutrlabs.shoutrboxxapp.berlinischegalerie,Art & Design,[2016-2020]
theme.art.lifestyle.stylish.design.wallpaper.geometry.gray.launcher,Art & Design,[2016-2020]
se.threedinteractive.konstar,Art & Design,[2016-2020]
com.beautycamera.photoeditor,Art & Design,[2016-2020]
com.KerajinanStikESCream.codetApps,Art & Design,[2016-2020]
smartgr.forearm.tattoos,Art & Design,[2016-2020]
com.rainerbode.adrianalins,Art & Design,[2016-2020]
jp.toastkid.stickywidget,Art & Design,[2016-2020]
app.com.telugintimuggulu,Art & Design,[2016-2020]
com.sfdevapps.ArtPics,Art & Design,[2016-2020]
com.portedesign.mbr,Art & Design,[2016-2020]
it.jiki.musei.gfranchetti,Art & Design,[2016-2020]
com.GateDesign.andidev,Art & Design,[2016-2020]
cc.christmasphotostrips,Art & Design,[2016-2020]
com.stykon.app.texty,Art & Design,[2016-2020]
com.SunglassesNew.andidev,Art & Design,[2016-2020]
com.madhumadhiapps.blousedesignslatestmodelsimages,Art & Design,[2016-2020]
com.madhumadhiapps.rangolidesignsofflinelatest,Art & Design,[2016-2020]
com.andromo.dev353832.app714076,Art & Design,[2016-2020]
com.GiftBox.andidev,Art & Design,[2016-2020]
com.sat.balnhdhurr,Art & Design,[2016-2020]
com.ababar.ababar,Art & Design,[2016-2020]
com.beautiful.hdwallpaper,Art & Design,[2016-2020]
com.mobiappsFun.writingtext.photoeditor.udruenglishpoetry,Art & Design,[2016-2020]
com.ModelTrellis.andidev,Art & Design,[2016-2020]
smartgr.prom.dresses,Art & Design,[2016-2020]
com.ionicbucket.accordionmenu,Art & Design,[2016-2020]
com.bitmap.stylishfont,Art & Design,[2016-2020]
com.YG.Gyroshere,Art & Design,[2016-2020]
com.websky.valentinedayshayari2018status,Art & Design,[2016-2020]
com.accurasoftech.menphotoeditor,Art & Design,[2016-2020]
com.DIYCraftsForKids.andidev,Art & Design,[2016-2020]
com.arvindkat.RoseCards,Art & Design,[2016-2020]
com.DiyShoeStorageIdeasForSmallSpaces.andidev,Art & Design,[2016-2020]
com.DesignABirthdayInvitation.andidev,Art & Design,[2016-2020]
com.creatorscorp.rawhdwallpapersdownload,Art & Design,[2016-2020]
com.ApartementSketch.paodroid,Art & Design,[2016-2020]
com.pumpun.getinvisualtalent,Art & Design,[2016-2020]
com.cutedogswallpaper.cutepuppywallpaper,Art & Design,[2016-2020]
org.marshallfredericks.mfsm,Art & Design,[2016-2020]
com.prabudroid.phototextanimation,Art & Design,[2016-2020]
com.VideoVibe.UltimateArtFilters,Art & Design,[2016-2020]
com.Aquascape.paodroid,Art & Design,[2016-2020]
jjrobots.cameraslider,Art & Design,[2016-2020]
com.milktea.garakuta.photoeffect,Art & Design,[2016-2020]
com.TableLamp.Paodroid,Art & Design,[2016-2020]
sitinoldae.sitinoldae,Art & Design,[2016-2020]
com.inappstudio.gujaratitextonphoto.writegujarationphoto.photoparanamalakho,Art & Design,[2016-2020]
com.migurumifreepatternideas.rasidinnapistudio,Art & Design,[2016-2020]
amigurumistepbystep.aprenderamigurumi.amigurumipaso,Art & Design,[2016-2020]
com.malinadeniela.writepunjabitextonphoto,Art & Design,[2016-2020]
