genre,average_rating
Music & Audio,0.0
Education,0.0
Trivia,0.0
Auto & Vehicles,0.0
Entertainment,0.0
Adventure,0.0
Arcade,0.0
Sports,0.0
Travel & Local,0.0
Food & Drink,0.0
Role Playing,0.0
Finance,0.0
Personalization,0.0
Racing,0.0
Tools,0.0
Educational,0.0
Comics,0.0
Social,0.0
Libraries & Demo,0.0
Shopping,0.0
House & Home,0.0
Health & Fitness,0.0
Productivity,0.0
Card,0.0
Casino,0.0
Music,0.0
Photography,0.0
Events,0.0
Lifestyle,0.0
Business,0.0
News & Magazines,0.0
Video Players & Editors,0.0
Books & Reference,0.0
Dating,0.0
Weather,0.0
Puzzle,0.0
Casual,0.0
Board,0.0
Medical,0.0
Parenting,0.0
Communication,0.0
Word,0.0
Beauty,0.0
Action,0.0
Strategy,0.0
Maps & Navigation,0.0
Art & Design,0.0
Simulation,0.0
